CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00004,20191121,0650,0450,0620,FUK,TIAS,S,11,196.4
1,XX00009,20191121,0700,0500,0630,HKG,TIAS,S,6,158.6
1,XX00022,20191121,0815,0615,0745,OKA,TIAS,M,1,201
1,XX00026,20191121,0830,0630,0800,KIX,TIAS,M,3,222.8
1,XX00043,20191121,0955,0755,0925,SIN,TIAS,L,7,341.4
1,XX00067,20191122,1210,1010,1140,KWE,TIAS,S,2,0
1,XX00068,20191122,1215,1015,1145,TYN,TIAS,S,10,102
1,XX00071,20191122,1230,1030,1200,HGH,TIAS,S,11,142
1,XX00092,20191122,1450,1250,1420,FSZ,TIAS,S,5,93.2
1,XX00114,20191122,1700,1500,1630,LAX,TIAS,L,9,628.2
1,XX00121,20191122,1720,1520,1650,HIJ,TIAS,S,5,183.4
1,XX00150,20191122,1950,1750,1920,YNT,TIAS,S,4,125
1,XX00154,20191122,2020,1820,1950,SJW,TIAS,S,2,0
1,XX00155,20191122,2025,1825,1955,ICN,TIAS,S,6,186.4
1,XX00160,20191122,2210,2010,2140,IAH,TIAS,L,8,592.2
1,XX00169,20191122,2350,2150,2320,LAX,TIAS,L,11,603
10,XX00006,20191121,0655,0455,0625,SYX,TIAS,S,11,99.4
10,XX00018,20191121,0810,0610,0740,CTU,TIAS,S,9,89.8
10,XX00024,20191121,0815,0615,0745,NGO,TIAS,S,1,159
10,XX00031,20191121,0850,0650,0820,BKK,TIAS,L,9,385.4
10,XX00045,20191121,1000,0800,0930,DPS,TIAS,S,2,192.4
10,XX00051,20191121,1020,0820,0950,NRT,TIAS,S,8,189
10,XX00061,20191122,1145,0945,1115,CGO,TIAS,S,8,57
10,XX00079,20191122,1315,1115,1245,PUS,TIAS,M,8,208
10,XX00090,20191122,1440,1240,1410,NRT,TIAS,M,3,276.4
10,XX00091,20191122,1445,1245,1415,MFM,TIAS,S,6,111.2
10,XX00094,20191122,1500,1300,1430,PVG,TIAS,M,10,209
10,XX00108,20191122,1630,1430,1600,FUK,TIAS,L,9,402.6
10,XX00112,20191122,1645,1445,1615,NGB,TIAS,S,8,96.2
10,XX00124,20191122,1725,1525,1655,KIX,TIAS,M,3,246.2
10,XX00132,20191122,1745,1545,1715,WNZ,TIAS,S,11,124
10,XX00152,20191122,2000,1800,1930,HKG,TIAS,M,2,232
10,XX00166,20191122,2340,2140,2310,SEA,TIAS,L,7,635.4
10,XX00173,20191122,2355,2155,2325,YVR,TIAS,L,10,464.4
11,XX00005,20191121,0650,0450,0620,CGQ,TIAS,S,8,119
11,XX00016,20191121,0800,0600,0730,TOY,TIAS,S,8,163
11,XX00017,20191121,0810,0610,0740,CAN,TIAS,S,10,198.2
11,XX00032,20191121,0850,0650,0820,NRT,TIAS,L,3,312.4
11,XX00047,20191121,1005,0805,0935,PVG,TIAS,L,7,333.2
11,XX00048,20191121,1015,0815,0945,HKG,TIAS,S,6,136.2
11,XX00053,20191121,1055,0855,1025,PVG,TIAS,M,1,252
11,XX00062,20191122,1155,0955,1125,HKG,TIAS,M,7,217.6
11,XX00085,20191122,1410,1210,1340,HKG,TIAS,S,6,132.8
11,XX00109,20191122,1635,1435,1605,HKG,TIAS,S,6,195.6
11,XX00127,20191122,1730,1530,1700,WUX,TIAS,S,10,59
11,XX00133,20191122,1745,1545,1715,KWL,TIAS,S,8,103
11,XX00134,20191122,1750,1550,1720,PVG,TIAS,M,11,249
11,XX00148,20191122,1945,1745,1915,HAK,TIAS,S,2,34
11,XX00170,20191122,2350,2150,2320,CDG,TIAS,L,8,429.7
12,XX00002,20191121,0630,0430,0600,KIX,TIAS,S,1,180.2
12,XX00011,20191121,0720,0520,0650,SGN,TIAS,L,9,568
12,XX00015,20191121,0800,0600,0730,HKG,TIAS,M,7,214.4
12,XX00027,20191121,0835,0635,0805,CTS,TIAS,L,8,383.8
12,XX00035,20191121,0900,0700,0830,CGK,TIAS,L,1,340.8
12,XX00042,20191121,0950,0750,0920,KIX,TIAS,L,5,349.8
12,XX00056,20191121,1120,0920,1050,LAX,TIAS,L,6,543.6
12,XX00058,20191122,1125,0925,1055,FOC,TIAS,S,1,121
12,XX00076,20191122,1300,1100,1230,CAN,TIAS,S,2,144
12,XX00089,20191122,1435,1235,1405,LJG,TIAS,S,10,118
12,XX00101,20191122,1545,1345,1515,NGO,TIAS,S,7,124
12,XX00105,20191122,1625,1425,1555,HGH,TIAS,M,8,228.6
12,XX00106,20191122,1625,1425,1555,SZX,TIAS,L,8,324
12,XX00118,20191122,1715,1515,1645,NGO,TIAS,M,2,268.2
12,XX00139,20191122,1820,1620,1750,NNG,TIAS,S,8,131
12,XX00145,20191122,1930,1730,1900,JFK,TIAS,L,8,608.4
12,XX00147,20191122,1940,1740,1910,PEK,TIAS,S,2,140
12,XX00156,20191122,2025,1825,1955,DLC,TIAS,S,8,121
12,XX00172,20191122,2355,2155,2325,LAX,TIAS,L,6,543.6
2,XX00174,20191121,0020,2220,2350,AMS,TIAS,S,1,50.7
2,XX00064,20191122,1155,0955,1125,CSX,TIAS,S,5,120
2,XX00070,20191122,1230,1030,1200,KIX,TIAS,S,8,153
