CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00011,20190807,0720,0520,0650,SGN,TIAS,L,9,568
1,XX00027,20190807,0835,0635,0805,CTS,TIAS,L,8,383.8
1,XX00049,20190807,1015,0815,0945,HRB,TIAS,S,2,139
1,XX00059,20190807,1130,0930,1100,SFO,TIAS,L,6,590.4
1,XX00060,20190807,1135,0935,1105,SFO,TIAS,L,9,644.4
1,XX00063,20190807,1155,0955,1125,TNA,TIAS,S,4,125
1,XX00071,20190807,1230,1030,1200,HGH,TIAS,S,11,142
1,XX00084,20190807,1410,1210,1340,SIN,TIAS,M,9,251
1,XX00091,20190807,1445,1245,1415,MFM,TIAS,S,6,111.2
1,XX00093,20190807,1450,1250,1420,FUK,TIAS,S,6,134.6
1,XX00104,20190807,1620,1420,1550,MFM,TIAS,S,6,132
1,XX00117,20190807,1710,1510,1640,PVG,TIAS,S,8,157
1,XX00168,20190807,2345,2145,2315,BNE,TIAS,L,8,450.9
1,XX00171,20190807,2355,2155,2325,YVR,TIAS,L,7,617.4
1,XX00173,20190807,2355,2155,2325,YVR,TIAS,L,10,464.4
10,XX00005,20190807,0650,0450,0620,CGQ,TIAS,S,8,119
10,XX00028,20190807,0840,0640,0810,XMN,TIAS,M,6,295.4
10,XX00038,20190807,0910,0710,0840,SGN,TIAS,L,9,382
10,XX00046,20190807,1000,0800,0930,NRT,TIAS,M,7,251
10,XX00067,20190807,1210,1010,1140,KWE,TIAS,S,2,0
10,XX00069,20190807,1225,1025,1155,NRT,TIAS,L,3,338
10,XX00100,20190807,1535,1335,1505,PEK,TIAS,M,1,277.8
10,XX00105,20190807,1625,1425,1555,HGH,TIAS,M,8,228.6
10,XX00119,20190807,1715,1515,1645,TNA,TIAS,S,6,112
10,XX00122,20190807,1720,1520,1650,HIJ,TIAS,S,5,184.4
10,XX00130,20190807,1735,1535,1705,SZX,TIAS,S,6,109
11,XX00175,20190807,0230,0030,0200,TAE,TIAS,S,1,0
11,XX00041,20190807,0930,0730,0900,CTS,TIAS,M,3,270.6
11,XX00043,20190807,0955,0755,0925,SIN,TIAS,L,7,341.4
11,XX00047,20190807,1005,0805,0935,PVG,TIAS,L,7,333.2
11,XX00064,20190807,1155,0955,1125,CSX,TIAS,S,5,120
11,XX00070,20190807,1230,1030,1200,KIX,TIAS,S,8,153
11,XX00097,20190807,1520,1320,1450,SZX,TIAS,L,3,307.8
11,XX00098,20190807,1520,1320,1450,NRT,TIAS,S,2,168.6
11,XX00112,20190807,1645,1445,1615,NGB,TIAS,S,8,96.2
11,XX00120,20190807,1720,1520,1650,OKA,TIAS,S,1,190
11,XX00126,20190807,1730,1530,1700,JFK,TIAS,L,3,604.8
11,XX00145,20190807,1930,1730,1900,JFK,TIAS,L,8,608.4
11,XX00150,20190807,1950,1750,1920,YNT,TIAS,S,4,125
11,XX00154,20190807,2020,1820,1950,SJW,TIAS,S,2,0
11,XX00159,20190807,2150,1950,2120,HKG,TIAS,S,6,150.6
11,XX00167,20190807,2340,2140,2310,SFO,TIAS,L,11,612
12,XX00018,20190807,0810,0610,0740,CTU,TIAS,S,9,89.8
12,XX00020,20190807,0810,0610,0740,KIX,TIAS,S,2,0
12,XX00021,20190807,0810,0610,0740,FUK,TIAS,S,3,173.8
12,XX00032,20190807,0850,0650,0820,NRT,TIAS,L,3,312.4
12,XX00037,20190807,0910,0710,0840,MNL,TIAS,L,10,580.6
12,XX00044,20190807,1000,0800,0930,MFM,TIAS,S,6,191.6
12,XX00054,20190807,1105,0905,1035,HKD,TIAS,S,8,138
12,XX00074,20190807,1240,1040,1210,HKG,TIAS,S,6,141.2
12,XX00076,20190807,1300,1100,1230,CAN,TIAS,S,2,144
12,XX00082,20190807,1335,1135,1305,SZX,TIAS,M,8,254
12,XX00089,20190807,1435,1235,1405,LJG,TIAS,S,10,118
12,XX00102,20190807,1605,1405,1535,WUX,TIAS,L,2,301.8
12,XX00107,20190807,1630,1430,1600,PVG,TIAS,L,8,338
12,XX00109,20190807,1635,1435,1605,HKG,TIAS,S,6,195.6
12,XX00123,20190807,1720,1520,1650,SHE,TIAS,S,6,124
12,XX00133,20190807,1745,1545,1715,KWL,TIAS,S,8,103
12,XX00141,20190807,1920,1720,1850,LAX,TIAS,L,6,563.4
12,XX00149,20190807,1950,1750,1920,SFO,TIAS,L,6,676.8
12,XX00152,20190807,2000,1800,1930,HKG,TIAS,M,2,232
12,XX00157,20190807,2030,1830,2000,MNL,TIAS,L,8,319.4
12,XX00164,20190807,2330,2130,2300,SYD,TIAS,L,8,462.4
12,XX00169,20190807,2350,2150,2320,LAX,TIAS,L,11,603
2,XX00002,20190807,0630,0430,0600,KIX,TIAS,S,1,180.2
2,XX00009,20190807,0700,0500,0630,HKG,TIAS,S,6,158.6
2,XX00014,20190807,0740,0540,0710,SIN,TIAS,L,9,447.4
2,XX00019,20190807,0810,0610,0740,HKG,TIAS,S,6,160.4
2,XX00048,20190807,1015,0815,0945,HKG,TIAS,S,6,136.2
2,XX00055,20190807,1115,0915,1045,NGB,TIAS,S,10,139
2,XX00056,20190807,1120,0920,1050,LAX,TIAS,L,6,543.6
2,XX00077,20190807,1300,1100,1230,ICN,TIAS,S,9,0
2,XX00078,20190807,1315,1115,1245,PEK,TIAS,M,11,249
2,XX00086,20190807,1420,1220,1350,KIX,TIAS,M,6,226
2,XX00099,20190807,1530,1330,1500,MNL,TIAS,L,2,360.6
2,XX00110,20190807,1635,1435,1605,ICN,TIAS,M,9,250
2,XX00118,20190807,1715,1515,1645,NGO,TIAS,M,2,268.2
2,XX00135,20190807,1750,1550,1720,NGB,TIAS,S,2,0
2,XX00136,20190807,1800,1600,1730,YVR,TIAS,S,2,0
2,XX00146,20190807,1940,1740,1910,YYZ,TIAS,L,8,568.8
2,XX00155,20190807,2025,1825,1955,ICN,TIAS,S,6,186.4
2,XX00170,20190807,2350,2150,2320,CDG,TIAS,L,8,429.7
3,XX00012,20190807,0735,0535,0705,BKK,TIAS,L,10,539
3,XX00015,20190807,0800,0600,0730,HKG,TIAS,M,7,214.4
3,XX00023,20190807,0815,0615,0745,KOJ,TIAS,S,5,68.8
3,XX00029,20190807,0845,0645,0815,PNH,TIAS,M,1,237.4
3,XX00033,20190807,0855,0655,0825,KIX,TIAS,S,7,128
3,XX00051,20190807,1020,0820,0950,NRT,TIAS,S,8,189
3,XX00068,20190807,1215,1015,1145,TYN,TIAS,S,10,102
3,XX00090,20190807,1440,1240,1410,NRT,TIAS,M,3,276.4
3,XX00095,20190807,1515,1315,1445,ICN,TIAS,L,2,311.6
3,XX00111,20190807,1645,1445,1615,PVG,TIAS,M,5,257
3,XX00113,20190807,1645,1445,1615,TAO,TIAS,S,4,125
3,XX00115,20190807,1705,1505,1635,MNL,TIAS,S,2,0
3,XX00125,20190807,1725,1525,1655,NKG,TIAS,S,10,173
3,XX00131,20190807,1740,1540,1710,KIX,TIAS,S,6,132.2
