CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00002,20191010,0630,0430,0600,KIX,TIAS,S,1,180.2
1,XX00016,20191010,0800,0600,0730,TOY,TIAS,S,8,163
1,XX00028,20191010,0840,0640,0810,XMN,TIAS,M,6,295.4
1,XX00034,20191010,0855,0655,0825,MFM,TIAS,S,6,134.4
1,XX00042,20191010,0950,0750,0920,KIX,TIAS,L,5,349.8
1,XX00051,20191010,1020,0820,0950,NRT,TIAS,S,8,189
1,XX00054,20191010,1105,0905,1035,HKD,TIAS,S,8,138
1,XX00078,20191010,1315,1115,1245,PEK,TIAS,M,11,249
1,XX00081,20191010,1325,1125,1255,CGO,TIAS,S,5,197.6
1,XX00092,20191010,1450,1250,1420,FSZ,TIAS,S,5,93.2
1,XX00102,20191010,1605,1405,1535,WUX,TIAS,L,2,301.8
1,XX00112,20191010,1645,1445,1615,NGB,TIAS,S,8,96.2
1,XX00118,20191010,1715,1515,1645,NGO,TIAS,M,2,268.2
1,XX00126,20191010,1730,1530,1700,JFK,TIAS,L,3,604.8
1,XX00148,20191010,1945,1745,1915,HAK,TIAS,S,2,34
1,XX00149,20191010,1950,1750,1920,SFO,TIAS,L,6,676.8
1,XX00157,20191010,2030,1830,2000,MNL,TIAS,L,8,319.4
1,XX00166,20191010,2340,2140,2310,SEA,TIAS,L,7,635.4
10,XX00003,20191010,0640,0440,0610,KUL,TIAS,M,1,285.4
10,XX00008,20191010,0655,0455,0625,ICN,TIAS,S,10,194.4
10,XX00020,20191010,0810,0610,0740,KIX,TIAS,S,2,0
10,XX00041,20191010,0930,0730,0900,CTS,TIAS,M,3,270.6
10,XX00063,20191010,1155,0955,1125,TNA,TIAS,S,4,125
10,XX00073,20191010,1230,1030,1200,SZX,TIAS,S,6,122
10,XX00075,20191010,1250,1050,1220,KIX,TIAS,S,7,148
10,XX00089,20191010,1435,1235,1405,LJG,TIAS,S,10,118
10,XX00096,20191010,1520,1320,1450,PEK,TIAS,M,8,289.8
10,XX00105,20191010,1625,1425,1555,HGH,TIAS,M,8,228.6
10,XX00115,20191010,1705,1505,1635,MNL,TIAS,S,2,0
10,XX00132,20191010,1745,1545,1715,WNZ,TIAS,S,11,124
10,XX00150,20191010,1950,1750,1920,YNT,TIAS,S,4,125
10,XX00167,20191010,2340,2140,2310,SFO,TIAS,L,11,612
10,XX00170,20191010,2350,2150,2320,CDG,TIAS,L,8,429.7
11,XX00004,20191010,0650,0450,0620,FUK,TIAS,S,11,196.4
11,XX00025,20191010,0830,0630,0800,CGO,TIAS,S,10,68
11,XX00035,20191010,0900,0700,0830,CGK,TIAS,L,1,340.8
11,XX00044,20191010,1000,0800,0930,MFM,TIAS,S,6,191.6
11,XX00065,20191010,1200,1000,1130,HFE,TIAS,S,10,139
11,XX00069,20191010,1225,1025,1155,NRT,TIAS,L,3,338
11,XX00072,20191010,1230,1030,1200,HRB,TIAS,S,8,107
11,XX00084,20191010,1410,1210,1340,SIN,TIAS,M,9,251
11,XX00104,20191010,1620,1420,1550,MFM,TIAS,S,6,132
11,XX00122,20191010,1720,1520,1650,HIJ,TIAS,S,5,184.4
11,XX00124,20191010,1725,1525,1655,KIX,TIAS,M,3,246.2
11,XX00143,20191010,1925,1725,1855,JJN,TIAS,S,1,153
11,XX00151,20191010,1955,1755,1925,CTU,TIAS,S,2,0
11,XX00155,20191010,2025,1825,1955,ICN,TIAS,S,6,186.4
11,XX00171,20191010,2355,2155,2325,YVR,TIAS,L,7,617.4
12,XX00009,20191010,0700,0500,0630,HKG,TIAS,S,6,158.6
12,XX00032,20191010,0850,0650,0820,NRT,TIAS,L,3,312.4
12,XX00036,20191010,0900,0700,0830,PVG,TIAS,M,1,280.6
12,XX00050,20191010,1015,0815,0945,SDJ,TIAS,S,8,151.2
12,XX00052,20191010,1025,0825,0955,SWA,TIAS,S,7,58
12,XX00062,20191010,1155,0955,1125,HKG,TIAS,M,7,217.6
12,XX00074,20191010,1240,1040,1210,HKG,TIAS,S,6,141.2
12,XX00085,20191010,1410,1210,1340,HKG,TIAS,S,6,132.8
12,XX00099,20191010,1530,1330,1500,MNL,TIAS,L,2,360.6
12,XX00101,20191010,1545,1345,1515,NGO,TIAS,S,7,124
12,XX00119,20191010,1715,1515,1645,TNA,TIAS,S,6,112
12,XX00121,20191010,1720,1520,1650,HIJ,TIAS,S,5,183.4
12,XX00141,20191010,1920,1720,1850,LAX,TIAS,L,6,563.4
12,XX00152,20191010,2000,1800,1930,HKG,TIAS,M,2,232
12,XX00159,20191010,2150,1950,2120,HKG,TIAS,S,6,150.6
12,XX00168,20191010,2345,2145,2315,BNE,TIAS,L,8,450.9
2,XX00019,20191010,0810,0610,0740,HKG,TIAS,S,6,160.4
2,XX00038,20191010,0910,0710,0840,SGN,TIAS,L,9,382
2,XX00047,20191010,1005,0805,0935,PVG,TIAS,L,7,333.2
2,XX00056,20191010,1120,0920,1050,LAX,TIAS,L,6,543.6
2,XX00064,20191010,1155,0955,1125,CSX,TIAS,S,5,120
2,XX00080,20191010,1320,1120,1250,NRT,TIAS,S,7,142
2,XX00086,20191010,1420,1220,1350,KIX,TIAS,M,6,226
2,XX00090,20191010,1440,1240,1410,NRT,TIAS,M,3,276.4
2,XX00103,20191010,1620,1420,1550,NRT,TIAS,S,1,153.8
2,XX00128,20191010,1730,1530,1700,HKG,TIAS,M,7,216.8
2,XX00131,20191010,1740,1540,1710,KIX,TIAS,S,6,132.2
2,XX00146,20191010,1940,1740,1910,YYZ,TIAS,L,8,568.8
2,XX00156,20191010,2025,1825,1955,DLC,TIAS,S,8,121
2,XX00160,20191010,2210,2010,2140,IAH,TIAS,L,8,592.2
3,XX00175,20191010,0230,0030,0200,TAE,TIAS,S,1,0
3,XX00001,20191010,0620,0420,0550,CTS,TIAS,S,1,182
3,XX00011,20191010,0720,0520,0650,SGN,TIAS,L,9,568
3,XX00017,20191010,0810,0610,0740,CAN,TIAS,S,10,198.2
3,XX00029,20191010,0845,0645,0815,PNH,TIAS,M,1,237.4
3,XX00033,20191010,0855,0655,0825,KIX,TIAS,S,7,128
3,XX00046,20191010,1000,0800,0930,NRT,TIAS,M,7,251
