CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00009,20191026,0700,0500,0630,HKG,TIAS,S,6,158.6
1,XX00030,20191026,0845,0645,0815,TSN,TIAS,S,10,90
1,XX00048,20191026,1015,0815,0945,HKG,TIAS,S,6,136.2
1,XX00051,20191026,1020,0820,0950,NRT,TIAS,S,8,189
1,XX00057,20191026,1125,0925,1055,XMN,TIAS,S,1,149
1,XX00076,20191026,1300,1100,1230,CAN,TIAS,S,2,144
1,XX00084,20191026,1410,1210,1340,SIN,TIAS,M,9,251
1,XX00089,20191026,1435,1235,1405,LJG,TIAS,S,10,118
1,XX00114,20191026,1700,1500,1630,LAX,TIAS,L,9,628.2
1,XX00119,20191026,1715,1515,1645,TNA,TIAS,S,6,112
1,XX00136,20191026,1800,1600,1730,YVR,TIAS,S,2,0
1,XX00151,20191026,1955,1755,1925,CTU,TIAS,S,2,0
1,XX00153,20191026,2005,1805,1935,ORD,TIAS,L,8,628.2
1,XX00171,20191026,2355,2155,2325,YVR,TIAS,L,7,617.4
10,XX00014,20191026,0740,0540,0710,SIN,TIAS,L,9,447.4
10,XX00015,20191026,0800,0600,0730,HKG,TIAS,M,7,214.4
10,XX00025,20191026,0830,0630,0800,CGO,TIAS,S,10,68
10,XX00034,20191026,0855,0655,0825,MFM,TIAS,S,6,134.4
10,XX00038,20191026,0910,0710,0840,SGN,TIAS,L,9,382
10,XX00063,20191026,1155,0955,1125,TNA,TIAS,S,4,125
10,XX00064,20191026,1155,0955,1125,CSX,TIAS,S,5,120
10,XX00087,20191026,1420,1220,1350,TAK,TIAS,S,6,109
10,XX00090,20191026,1440,1240,1410,NRT,TIAS,M,3,276.4
10,XX00109,20191026,1635,1435,1605,HKG,TIAS,S,6,195.6
10,XX00118,20191026,1715,1515,1645,NGO,TIAS,M,2,268.2
10,XX00121,20191026,1720,1520,1650,HIJ,TIAS,S,5,183.4
10,XX00134,20191026,1750,1550,1720,PVG,TIAS,M,11,249
10,XX00148,20191026,1945,1745,1915,HAK,TIAS,S,2,34
10,XX00155,20191026,2025,1825,1955,ICN,TIAS,S,6,186.4
11,XX00008,20191026,0655,0455,0625,ICN,TIAS,S,10,194.4
11,XX00024,20191026,0815,0615,0745,NGO,TIAS,S,1,159
