CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00005,20191128,0650,0450,0620,CGQ,TIAS,S,8,119
1,XX00006,20191128,0655,0455,0625,SYX,TIAS,S,11,99.4
1,XX00024,20191128,0815,0615,0745,NGO,TIAS,S,1,159
1,XX00028,20191128,0840,0640,0810,XMN,TIAS,M,6,295.4
1,XX00032,20191128,0850,0650,0820,NRT,TIAS,L,3,312.4
1,XX00051,20191128,1020,0820,0950,NRT,TIAS,S,8,189
1,XX00058,20191128,1125,0925,1055,FOC,TIAS,S,1,121
1,XX00063,20191128,1155,0955,1125,TNA,TIAS,S,4,125
1,XX00072,20191128,1230,1030,1200,HRB,TIAS,S,8,107
1,XX00094,20191128,1500,1300,1430,PVG,TIAS,M,10,209
1,XX00097,20191128,1520,1320,1450,SZX,TIAS,L,3,307.8
1,XX00115,20191128,1705,1505,1635,MNL,TIAS,S,2,0
1,XX00127,20191128,1730,1530,1700,WUX,TIAS,S,10,59
1,XX00131,20191128,1740,1540,1710,KIX,TIAS,S,6,132.2
1,XX00142,20191128,1920,1720,1850,CKG,TIAS,S,11,102
1,XX00147,20191128,1940,1740,1910,PEK,TIAS,S,2,140
1,XX00148,20191128,1945,1745,1915,HAK,TIAS,S,2,34
1,XX00168,20191128,2345,2145,2315,BNE,TIAS,L,8,450.9
10,XX00003,20191128,0640,0440,0610,KUL,TIAS,M,1,285.4
10,XX00013,20191128,0740,0540,0710,SYD,TIAS,L,9,426.8
10,XX00039,20191128,0915,0715,0845,HAN,TIAS,S,9,182.8
10,XX00043,20191128,0955,0755,0925,SIN,TIAS,L,7,341.4
10,XX00061,20191128,1145,0945,1115,CGO,TIAS,S,8,57
10,XX00066,20191128,1205,1005,1135,WUX,TIAS,S,6,126
10,XX00076,20191128,1300,1100,1230,CAN,TIAS,S,2,144
10,XX00109,20191128,1635,1435,1605,HKG,TIAS,S,6,195.6
10,XX00111,20191128,1645,1445,1615,PVG,TIAS,M,5,257
10,XX00123,20191128,1720,1520,1650,SHE,TIAS,S,6,124
10,XX00130,20191128,1735,1535,1705,SZX,TIAS,S,6,109
10,XX00133,20191128,1745,1545,1715,KWL,TIAS,S,8,103
10,XX00136,20191128,1800,1600,1730,YVR,TIAS,S,2,0
10,XX00150,20191128,1950,1750,1920,YNT,TIAS,S,4,125
11,XX00014,20191128,0740,0540,0710,SIN,TIAS,L,9,447.4
11,XX00016,20191128,0800,0600,0730,TOY,TIAS,S,8,163
11,XX00017,20191128,0810,0610,0740,CAN,TIAS,S,10,198.2
11,XX00019,20191128,0810,0610,0740,HKG,TIAS,S,6,160.4
11,XX00029,20191128,0845,0645,0815,PNH,TIAS,M,1,237.4
11,XX00054,20191128,1105,0905,1035,HKD,TIAS,S,8,138
11,XX00073,20191128,1230,1030,1200,SZX,TIAS,S,6,122
11,XX00079,20191128,1315,1115,1245,PUS,TIAS,M,8,208
11,XX00102,20191128,1605,1405,1535,WUX,TIAS,L,2,301.8
11,XX00108,20191128,1630,1430,1600,FUK,TIAS,L,9,402.6
11,XX00116,20191128,1710,1510,1640,SFO,TIAS,L,9,532.8
11,XX00135,20191128,1750,1550,1720,NGB,TIAS,S,2,0
11,XX00139,20191128,1820,1620,1750,NNG,TIAS,S,8,131
11,XX00152,20191128,2000,1800,1930,HKG,TIAS,M,2,232
11,XX00169,20191128,2350,2150,2320,LAX,TIAS,L,11,603
11,XX00172,20191128,2355,2155,2325,LAX,TIAS,L,6,543.6
12,XX00015,20191128,0800,0600,0730,HKG,TIAS,M,7,214.4
12,XX00022,20191128,0815,0615,0745,OKA,TIAS,M,1,201
12,XX00033,20191128,0855,0655,0825,KIX,TIAS,S,7,128
12,XX00038,20191128,0910,0710,0840,SGN,TIAS,L,9,382
12,XX00041,20191128,0930,0730,0900,CTS,TIAS,M,3,270.6
12,XX00042,20191128,0950,0750,0920,KIX,TIAS,L,5,349.8
12,XX00062,20191128,1155,0955,1125,HKG,TIAS,M,7,217.6
12,XX00084,20191128,1410,1210,1340,SIN,TIAS,M,9,251
12,XX00086,20191128,1420,1220,1350,KIX,TIAS,M,6,226
12,XX00099,20191128,1530,1330,1500,MNL,TIAS,L,2,360.6
12,XX00105,20191128,1625,1425,1555,HGH,TIAS,M,8,228.6
12,XX00112,20191128,1645,1445,1615,NGB,TIAS,S,8,96.2
12,XX00124,20191128,1725,1525,1655,KIX,TIAS,M,3,246.2
12,XX00129,20191128,1735,1535,1705,SIN,TIAS,M,7,249
12,XX00132,20191128,1745,1545,1715,WNZ,TIAS,S,11,124
12,XX00143,20191128,1925,1725,1855,JJN,TIAS,S,1,153
12,XX00156,20191128,2025,1825,1955,DLC,TIAS,S,8,121
12,XX00165,20191128,2330,2130,2300,HNL,TIAS,M,10,298.8
2,XX00174,20191128,0020,2220,2350,AMS,TIAS,S,1,50.7
3,XX00001,20191128,0620,0420,0550,CTS,TIAS,S,1,182
3,XX00007,20191128,0655,0455,0625,OKA,TIAS,S,6,176
3,XX00021,20191128,0810,0610,0740,FUK,TIAS,S,3,173.8
3,XX00036,20191128,0900,0700,0830,PVG,TIAS,M,1,280.6
3,XX00047,20191128,1005,0805,0935,PVG,TIAS,L,7,333.2
3,XX00055,20191128,1115,0915,1045,NGB,TIAS,S,10,139
