CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00003,20191129,0640,0440,0610,KUL,TIAS,M,1,285.4
1,XX00014,20191129,0740,0540,0710,SIN,TIAS,L,9,447.4
1,XX00027,20191129,0835,0635,0805,CTS,TIAS,L,8,383.8
1,XX00032,20191129,0850,0650,0820,NRT,TIAS,L,3,312.4
1,XX00043,20191129,0955,0755,0925,SIN,TIAS,L,7,341.4
1,XX00055,20191129,1115,0915,1045,NGB,TIAS,S,10,139
1,XX00062,20191129,1155,0955,1125,HKG,TIAS,M,7,217.6
1,XX00064,20191129,1155,0955,1125,CSX,TIAS,S,5,120
1,XX00078,20191129,1315,1115,1245,PEK,TIAS,M,11,249
1,XX00083,20191129,1410,1210,1340,ICN,TIAS,L,9,399
1,XX00092,20191129,1450,1250,1420,FSZ,TIAS,S,5,93.2
1,XX00099,20191129,1530,1330,1500,MNL,TIAS,L,2,360.6
1,XX00102,20191129,1605,1405,1535,WUX,TIAS,L,2,301.8
1,XX00128,20191129,1730,1530,1700,HKG,TIAS,M,7,216.8
1,XX00130,20191129,1735,1535,1705,SZX,TIAS,S,6,109
1,XX00153,20191129,2005,1805,1935,ORD,TIAS,L,8,628.2
1,XX00154,20191129,2020,1820,1950,SJW,TIAS,S,2,0
1,XX00169,20191129,2350,2150,2320,LAX,TIAS,L,11,603
10,XX00001,20191129,0620,0420,0550,CTS,TIAS,S,1,182
10,XX00006,20191129,0655,0455,0625,SYX,TIAS,S,11,99.4
10,XX00021,20191129,0810,0610,0740,FUK,TIAS,S,3,173.8
10,XX00036,20191129,0900,0700,0830,PVG,TIAS,M,1,280.6
10,XX00038,20191129,0910,0710,0840,SGN,TIAS,L,9,382
10,XX00052,20191129,1025,0825,0955,SWA,TIAS,S,7,58
10,XX00063,20191129,1155,0955,1125,TNA,TIAS,S,4,125
10,XX00076,20191129,1300,1100,1230,CAN,TIAS,S,2,144
10,XX00084,20191129,1410,1210,1340,SIN,TIAS,M,9,251
10,XX00101,20191129,1545,1345,1515,NGO,TIAS,S,7,124
10,XX00104,20191129,1620,1420,1550,MFM,TIAS,S,6,132
10,XX00105,20191129,1625,1425,1555,HGH,TIAS,M,8,228.6
10,XX00119,20191129,1715,1515,1645,TNA,TIAS,S,6,112
10,XX00123,20191129,1720,1520,1650,SHE,TIAS,S,6,124
10,XX00133,20191129,1745,1545,1715,KWL,TIAS,S,8,103
10,XX00155,20191129,2025,1825,1955,ICN,TIAS,S,6,186.4
10,XX00158,20191129,2110,1910,2040,BKK,TIAS,L,6,331.6
10,XX00159,20191129,2150,1950,2120,HKG,TIAS,S,6,150.6
10,XX00165,20191129,2330,2130,2300,HNL,TIAS,M,10,298.8
11,XX00175,20191129,0230,0030,0200,TAE,TIAS,S,1,0
11,XX00012,20191129,0735,0535,0705,BKK,TIAS,L,10,539
11,XX00016,20191129,0800,0600,0730,TOY,TIAS,S,8,163
11,XX00019,20191129,0810,0610,0740,HKG,TIAS,S,6,160.4
11,XX00039,20191129,0915,0715,0845,HAN,TIAS,S,9,182.8
11,XX00044,20191129,1000,0800,0930,MFM,TIAS,S,6,191.6
11,XX00056,20191129,1120,0920,1050,LAX,TIAS,L,6,543.6
11,XX00069,20191129,1225,1025,1155,NRT,TIAS,L,3,338
11,XX00094,20191129,1500,1300,1430,PVG,TIAS,M,10,209
11,XX00106,20191129,1625,1425,1555,SZX,TIAS,L,8,324
11,XX00118,20191129,1715,1515,1645,NGO,TIAS,M,2,268.2
11,XX00120,20191129,1720,1520,1650,OKA,TIAS,S,1,190
11,XX00137,20191129,1810,1610,1740,HKG,TIAS,M,6,268.2
11,XX00144,20191129,1930,1730,1900,SGN,TIAS,L,8,379.8
11,XX00149,20191129,1950,1750,1920,SFO,TIAS,L,6,676.8
11,XX00160,20191129,2210,2010,2140,IAH,TIAS,L,8,592.2
11,XX00166,20191129,2340,2140,2310,SEA,TIAS,L,7,635.4
11,XX00172,20191129,2355,2155,2325,LAX,TIAS,L,6,543.6
12,XX00002,20191129,0630,0430,0600,KIX,TIAS,S,1,180.2
12,XX00018,20191129,0810,0610,0740,CTU,TIAS,S,9,89.8
12,XX00034,20191129,0855,0655,0825,MFM,TIAS,S,6,134.4
12,XX00046,20191129,1000,0800,0930,NRT,TIAS,M,7,251
12,XX00049,20191129,1015,0815,0945,HRB,TIAS,S,2,139
12,XX00057,20191129,1125,0925,1055,XMN,TIAS,S,1,149
12,XX00059,20191129,1130,0930,1100,SFO,TIAS,L,6,590.4
12,XX00079,20191129,1315,1115,1245,PUS,TIAS,M,8,208
12,XX00088,20191129,1435,1235,1405,CAN,TIAS,M,8,268
12,XX00089,20191129,1435,1235,1405,LJG,TIAS,S,10,118
12,XX00124,20191129,1725,1525,1655,KIX,TIAS,M,3,246.2
12,XX00127,20191129,1730,1530,1700,WUX,TIAS,S,10,59
12,XX00148,20191129,1945,1745,1915,HAK,TIAS,S,2,34
2,XX00174,20191129,0020,2220,2350,AMS,TIAS,S,1,50.7
3,XX00004,20191129,0650,0450,0620,FUK,TIAS,S,11,196.4
3,XX00013,20191129,0740,0540,0710,SYD,TIAS,L,9,426.8
3,XX00026,20191129,0830,0630,0800,KIX,TIAS,M,3,222.8
3,XX00028,20191129,0840,0640,0810,XMN,TIAS,M,6,295.4
3,XX00040,20191129,0930,0730,0900,NRT,TIAS,L,6,364.2
