CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00007,20190919,0655,0455,0625,OKA,TIAS,S,6,176
1,XX00019,20190919,0810,0610,0740,HKG,TIAS,S,6,160.4
1,XX00029,20190919,0845,0645,0815,PNH,TIAS,M,1,237.4
1,XX00040,20190919,0930,0730,0900,NRT,TIAS,L,6,364.2
1,XX00048,20190919,1015,0815,0945,HKG,TIAS,S,6,136.2
1,XX00059,20190919,1130,0930,1100,SFO,TIAS,L,6,590.4
1,XX00065,20190919,1200,1000,1130,HFE,TIAS,S,10,139
1,XX00082,20190919,1335,1135,1305,SZX,TIAS,M,8,254
1,XX00091,20190919,1445,1245,1415,MFM,TIAS,S,6,111.2
1,XX00103,20190919,1620,1420,1550,NRT,TIAS,S,1,153.8
1,XX00107,20190919,1630,1430,1600,PVG,TIAS,L,8,338
1,XX00121,20190919,1720,1520,1650,HIJ,TIAS,S,5,183.4
1,XX00124,20190919,1725,1525,1655,KIX,TIAS,M,3,246.2
1,XX00126,20190919,1730,1530,1700,JFK,TIAS,L,3,604.8
1,XX00142,20190919,1920,1720,1850,CKG,TIAS,S,11,102
1,XX00173,20190919,2355,2155,2325,YVR,TIAS,L,10,464.4
10,XX00004,20190919,0650,0450,0620,FUK,TIAS,S,11,196.4
10,XX00012,20190919,0735,0535,0705,BKK,TIAS,L,10,539
10,XX00026,20190919,0830,0630,0800,KIX,TIAS,M,3,222.8
10,XX00035,20190919,0900,0700,0830,CGK,TIAS,L,1,340.8
10,XX00043,20190919,0955,0755,0925,SIN,TIAS,L,7,341.4
10,XX00054,20190919,1105,0905,1035,HKD,TIAS,S,8,138
10,XX00062,20190919,1155,0955,1125,HKG,TIAS,M,7,217.6
10,XX00092,20190919,1450,1250,1420,FSZ,TIAS,S,5,93.2
10,XX00105,20190919,1625,1425,1555,HGH,TIAS,M,8,228.6
10,XX00117,20190919,1710,1510,1640,PVG,TIAS,S,8,157
10,XX00118,20190919,1715,1515,1645,NGO,TIAS,M,2,268.2
10,XX00136,20190919,1800,1600,1730,YVR,TIAS,S,2,0
10,XX00153,20190919,2005,1805,1935,ORD,TIAS,L,8,628.2
10,XX00160,20190919,2210,2010,2140,IAH,TIAS,L,8,592.2
10,XX00162,20190919,2320,2120,2250,MEL,TIAS,L,8,446.6
11,XX00018,20190919,0810,0610,0740,CTU,TIAS,S,9,89.8
11,XX00030,20190919,0845,0645,0815,TSN,TIAS,S,10,90
11,XX00039,20190919,0915,0715,0845,HAN,TIAS,S,9,182.8
11,XX00044,20190919,1000,0800,0930,MFM,TIAS,S,6,191.6
11,XX00058,20190919,1125,0925,1055,FOC,TIAS,S,1,121
11,XX00067,20190919,1210,1010,1140,KWE,TIAS,S,2,0
11,XX00070,20190919,1230,1030,1200,KIX,TIAS,S,8,153
11,XX00096,20190919,1520,1320,1450,PEK,TIAS,M,8,289.8
11,XX00097,20190919,1520,1320,1450,SZX,TIAS,L,3,307.8
11,XX00112,20190919,1645,1445,1615,NGB,TIAS,S,8,96.2
11,XX00122,20190919,1720,1520,1650,HIJ,TIAS,S,5,184.4
11,XX00137,20190919,1810,1610,1740,HKG,TIAS,M,6,268.2
11,XX00143,20190919,1925,1725,1855,JJN,TIAS,S,1,153
11,XX00148,20190919,1945,1745,1915,HAK,TIAS,S,2,34
11,XX00154,20190919,2020,1820,1950,SJW,TIAS,S,2,0
11,XX00161,20190919,2215,2015,2145,IST,TIAS,L,9,374.4
11,XX00170,20190919,2350,2150,2320,CDG,TIAS,L,8,429.7
12,XX00008,20190919,0655,0455,0625,ICN,TIAS,S,10,194.4
12,XX00021,20190919,0810,0610,0740,FUK,TIAS,S,3,173.8
12,XX00037,20190919,0910,0710,0840,MNL,TIAS,L,10,580.6
12,XX00053,20190919,1055,0855,1025,PVG,TIAS,M,1,252
12,XX00055,20190919,1115,0915,1045,NGB,TIAS,S,10,139
12,XX00061,20190919,1145,0945,1115,CGO,TIAS,S,8,57
12,XX00080,20190919,1320,1120,1250,NRT,TIAS,S,7,142
12,XX00087,20190919,1420,1220,1350,TAK,TIAS,S,6,109
12,XX00095,20190919,1515,1315,1445,ICN,TIAS,L,2,311.6
12,XX00114,20190919,1700,1500,1630,LAX,TIAS,L,9,628.2
12,XX00123,20190919,1720,1520,1650,SHE,TIAS,S,6,124
12,XX00145,20190919,1930,1730,1900,JFK,TIAS,L,8,608.4
12,XX00158,20190919,2110,1910,2040,BKK,TIAS,L,6,331.6
12,XX00163,20190919,2330,2130,2300,SFO,TIAS,L,6,660.6
2,XX00011,20190919,0720,0520,0650,SGN,TIAS,L,9,568
2,XX00015,20190919,0800,0600,0730,HKG,TIAS,M,7,214.4
2,XX00022,20190919,0815,0615,0745,OKA,TIAS,M,1,201
2,XX00050,20190919,1015,0815,0945,SDJ,TIAS,S,8,151.2
2,XX00063,20190919,1155,0955,1125,TNA,TIAS,S,4,125
2,XX00074,20190919,1240,1040,1210,HKG,TIAS,S,6,141.2
2,XX00081,20190919,1325,1125,1255,CGO,TIAS,S,5,197.6
2,XX00083,20190919,1410,1210,1340,ICN,TIAS,L,9,399
2,XX00102,20190919,1605,1405,1535,WUX,TIAS,L,2,301.8
2,XX00109,20190919,1635,1435,1605,HKG,TIAS,S,6,195.6
2,XX00113,20190919,1645,1445,1615,TAO,TIAS,S,4,125
2,XX00132,20190919,1745,1545,1715,WNZ,TIAS,S,11,124
2,XX00138,20190919,1820,1620,1750,TXN,TIAS,S,8,133
2,XX00147,20190919,1940,1740,1910,PEK,TIAS,S,2,140
2,XX00149,20190919,1950,1750,1920,SFO,TIAS,L,6,676.8
2,XX00167,20190919,2340,2140,2310,SFO,TIAS,L,11,612
3,XX00002,20190919,0630,0430,0600,KIX,TIAS,S,1,180.2
3,XX00013,20190919,0740,0540,0710,SYD,TIAS,L,9,426.8
3,XX00017,20190919,0810,0610,0740,CAN,TIAS,S,10,198.2
3,XX00045,20190919,1000,0800,0930,DPS,TIAS,S,2,192.4
