CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00010,20191112,0710,0510,0640,CEB,TIAS,M,3,248.2
1,XX00043,20191112,0955,0755,0925,SIN,TIAS,L,7,341.4
1,XX00056,20191112,1120,0920,1050,LAX,TIAS,L,6,543.6
1,XX00066,20191112,1205,1005,1135,WUX,TIAS,S,6,126
1,XX00075,20191112,1250,1050,1220,KIX,TIAS,S,7,148
1,XX00088,20191112,1435,1235,1405,CAN,TIAS,M,8,268
1,XX00093,20191112,1450,1250,1420,FUK,TIAS,S,6,134.6
1,XX00100,20191112,1535,1335,1505,PEK,TIAS,M,1,277.8
1,XX00115,20191112,1705,1505,1635,MNL,TIAS,S,2,0
1,XX00116,20191112,1710,1510,1640,SFO,TIAS,L,9,532.8
1,XX00125,20191112,1725,1525,1655,NKG,TIAS,S,10,173
1,XX00129,20191112,1735,1535,1705,SIN,TIAS,M,7,249
1,XX00149,20191112,1950,1750,1920,SFO,TIAS,L,6,676.8
1,XX00165,20191112,2330,2130,2300,HNL,TIAS,M,10,298.8
10,XX00025,20191112,0830,0630,0800,CGO,TIAS,S,10,68
10,XX00032,20191112,0850,0650,0820,NRT,TIAS,L,3,312.4
10,XX00034,20191112,0855,0655,0825,MFM,TIAS,S,6,134.4
10,XX00051,20191112,1020,0820,0950,NRT,TIAS,S,8,189
10,XX00054,20191112,1105,0905,1035,HKD,TIAS,S,8,138
10,XX00063,20191112,1155,0955,1125,TNA,TIAS,S,4,125
10,XX00081,20191112,1325,1125,1255,CGO,TIAS,S,5,197.6
10,XX00085,20191112,1410,1210,1340,HKG,TIAS,S,6,132.8
10,XX00086,20191112,1420,1220,1350,KIX,TIAS,M,6,226
10,XX00089,20191112,1435,1235,1405,LJG,TIAS,S,10,118
10,XX00110,20191112,1635,1435,1605,ICN,TIAS,M,9,250
10,XX00119,20191112,1715,1515,1645,TNA,TIAS,S,6,112
10,XX00128,20191112,1730,1530,1700,HKG,TIAS,M,7,216.8
10,XX00138,20191112,1820,1620,1750,TXN,TIAS,S,8,133
10,XX00151,20191112,1955,1755,1925,CTU,TIAS,S,2,0
10,XX00154,20191112,2020,1820,1950,SJW,TIAS,S,2,0
10,XX00156,20191112,2025,1825,1955,DLC,TIAS,S,8,121
11,XX00176,20191112,0310,0110,0240,PUS,TIAS,M,1,219
11,XX00001,20191112,0620,0420,0550,CTS,TIAS,S,1,182
11,XX00027,20191112,0835,0635,0805,CTS,TIAS,L,8,383.8
11,XX00029,20191112,0845,0645,0815,PNH,TIAS,M,1,237.4
11,XX00035,20191112,0900,0700,0830,CGK,TIAS,L,1,340.8
11,XX00037,20191112,0910,0710,0840,MNL,TIAS,L,10,580.6
11,XX00053,20191112,1055,0855,1025,PVG,TIAS,M,1,252
11,XX00057,20191112,1125,0925,1055,XMN,TIAS,S,1,149
11,XX00062,20191112,1155,0955,1125,HKG,TIAS,M,7,217.6
11,XX00074,20191112,1240,1040,1210,HKG,TIAS,S,6,141.2
11,XX00082,20191112,1335,1135,1305,SZX,TIAS,M,8,254
11,XX00083,20191112,1410,1210,1340,ICN,TIAS,L,9,399
11,XX00094,20191112,1500,1300,1430,PVG,TIAS,M,10,209
11,XX00137,20191112,1810,1610,1740,HKG,TIAS,M,6,268.2
11,XX00141,20191112,1920,1720,1850,LAX,TIAS,L,6,563.4
11,XX00150,20191112,1950,1750,1920,YNT,TIAS,S,4,125
11,XX00155,20191112,2025,1825,1955,ICN,TIAS,S,6,186.4
11,XX00166,20191112,2340,2140,2310,SEA,TIAS,L,7,635.4
12,XX00174,20191112,0020,2220,2350,AMS,TIAS,S,1,50.7
12,XX00168,20191112,2345,2145,2315,BNE,TIAS,L,8,450.9
2,XX00005,20191112,0650,0450,0620,CGQ,TIAS,S,8,119
2,XX00006,20191112,0655,0455,0625,SYX,TIAS,S,11,99.4
2,XX00024,20191112,0815,0615,0745,NGO,TIAS,S,1,159
2,XX00030,20191112,0845,0645,0815,TSN,TIAS,S,10,90
2,XX00065,20191112,1200,1000,1130,HFE,TIAS,S,10,139
2,XX00067,20191112,1210,1010,1140,KWE,TIAS,S,2,0
2,XX00078,20191112,1315,1115,1245,PEK,TIAS,M,11,249
2,XX00097,20191112,1520,1320,1450,SZX,TIAS,L,3,307.8
2,XX00107,20191112,1630,1430,1600,PVG,TIAS,L,8,338
2,XX00114,20191112,1700,1500,1630,LAX,TIAS,L,9,628.2
2,XX00124,20191112,1725,1525,1655,KIX,TIAS,M,3,246.2
2,XX00139,20191112,1820,1620,1750,NNG,TIAS,S,8,131
2,XX00143,20191112,1925,1725,1855,JJN,TIAS,S,1,153
2,XX00147,20191112,1940,1740,1910,PEK,TIAS,S,2,140
2,XX00157,20191112,2030,1830,2000,MNL,TIAS,L,8,319.4
2,XX00171,20191112,2355,2155,2325,YVR,TIAS,L,7,617.4
3,XX00003,20191112,0640,0440,0610,KUL,TIAS,M,1,285.4
3,XX00012,20191112,0735,0535,0705,BKK,TIAS,L,10,539
3,XX00021,20191112,0810,0610,0740,FUK,TIAS,S,3,173.8
3,XX00041,20191112,0930,0730,0900,CTS,TIAS,M,3,270.6
3,XX00042,20191112,0950,0750,0920,KIX,TIAS,L,5,349.8
