CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00176,20190809,0310,0110,0240,PUS,TIAS,M,1,219
1,XX00011,20190809,0720,0520,0650,SGN,TIAS,L,9,568
1,XX00034,20190809,0855,0655,0825,MFM,TIAS,S,6,134.4
1,XX00044,20190809,1000,0800,0930,MFM,TIAS,S,6,191.6
1,XX00050,20190809,1015,0815,0945,SDJ,TIAS,S,8,151.2
1,XX00068,20190809,1215,1015,1145,TYN,TIAS,S,10,102
1,XX00088,20190809,1435,1235,1405,CAN,TIAS,M,8,268
1,XX00089,20190809,1435,1235,1405,LJG,TIAS,S,10,118
1,XX00101,20190809,1545,1345,1515,NGO,TIAS,S,7,124
1,XX00138,20190809,1820,1620,1750,TXN,TIAS,S,8,133
1,XX00141,20190809,1920,1720,1850,LAX,TIAS,L,6,563.4
1,XX00151,20190809,1955,1755,1925,CTU,TIAS,S,2,0
1,XX00165,20190809,2330,2130,2300,HNL,TIAS,M,10,298.8
1,XX00171,20190809,2355,2155,2325,YVR,TIAS,L,7,617.4
10,XX00013,20190809,0740,0540,0710,SYD,TIAS,L,9,426.8
10,XX00018,20190809,0810,0610,0740,CTU,TIAS,S,9,89.8
10,XX00035,20190809,0900,0700,0830,CGK,TIAS,L,1,340.8
10,XX00053,20190809,1055,0855,1025,PVG,TIAS,M,1,252
10,XX00066,20190809,1205,1005,1135,WUX,TIAS,S,6,126
10,XX00069,20190809,1225,1025,1155,NRT,TIAS,L,3,338
10,XX00091,20190809,1445,1245,1415,MFM,TIAS,S,6,111.2
10,XX00095,20190809,1515,1315,1445,ICN,TIAS,L,2,311.6
10,XX00100,20190809,1535,1335,1505,PEK,TIAS,M,1,277.8
10,XX00126,20190809,1730,1530,1700,JFK,TIAS,L,3,604.8
10,XX00132,20190809,1745,1545,1715,WNZ,TIAS,S,11,124
10,XX00139,20190809,1820,1620,1750,NNG,TIAS,S,8,131
10,XX00148,20190809,1945,1745,1915,HAK,TIAS,S,2,34
10,XX00170,20190809,2350,2150,2320,CDG,TIAS,L,8,429.7
11,XX00003,20190809,0640,0440,0610,KUL,TIAS,M,1,285.4
11,XX00004,20190809,0650,0450,0620,FUK,TIAS,S,11,196.4
11,XX00021,20190809,0810,0610,0740,FUK,TIAS,S,3,173.8
11,XX00033,20190809,0855,0655,0825,KIX,TIAS,S,7,128
11,XX00036,20190809,0900,0700,0830,PVG,TIAS,M,1,280.6
11,XX00041,20190809,0930,0730,0900,CTS,TIAS,M,3,270.6
11,XX00048,20190809,1015,0815,0945,HKG,TIAS,S,6,136.2
11,XX00054,20190809,1105,0905,1035,HKD,TIAS,S,8,138
11,XX00080,20190809,1320,1120,1250,NRT,TIAS,S,7,142
11,XX00086,20190809,1420,1220,1350,KIX,TIAS,M,6,226
11,XX00105,20190809,1625,1425,1555,HGH,TIAS,M,8,228.6
11,XX00121,20190809,1720,1520,1650,HIJ,TIAS,S,5,183.4
11,XX00127,20190809,1730,1530,1700,WUX,TIAS,S,10,59
11,XX00130,20190809,1735,1535,1705,SZX,TIAS,S,6,109
11,XX00143,20190809,1925,1725,1855,JJN,TIAS,S,1,153
11,XX00144,20190809,1930,1730,1900,SGN,TIAS,L,8,379.8
11,XX00161,20190809,2215,2015,2145,IST,TIAS,L,9,374.4
11,XX00168,20190809,2345,2145,2315,BNE,TIAS,L,8,450.9
12,XX00016,20190809,0800,0600,0730,TOY,TIAS,S,8,163
12,XX00026,20190809,0830,0630,0800,KIX,TIAS,M,3,222.8
12,XX00029,20190809,0845,0645,0815,PNH,TIAS,M,1,237.4
12,XX00040,20190809,0930,0730,0900,NRT,TIAS,L,6,364.2
12,XX00042,20190809,0950,0750,0920,KIX,TIAS,L,5,349.8
12,XX00077,20190809,1300,1100,1230,ICN,TIAS,S,9,0
12,XX00092,20190809,1450,1250,1420,FSZ,TIAS,S,5,93.2
12,XX00099,20190809,1530,1330,1500,MNL,TIAS,L,2,360.6
12,XX00102,20190809,1605,1405,1535,WUX,TIAS,L,2,301.8
12,XX00111,20190809,1645,1445,1615,PVG,TIAS,M,5,257
12,XX00128,20190809,1730,1530,1700,HKG,TIAS,M,7,216.8
12,XX00136,20190809,1800,1600,1730,YVR,TIAS,S,2,0
12,XX00137,20190809,1810,1610,1740,HKG,TIAS,M,6,268.2
12,XX00145,20190809,1930,1730,1900,JFK,TIAS,L,8,608.4
12,XX00156,20190809,2025,1825,1955,DLC,TIAS,S,8,121
12,XX00160,20190809,2210,2010,2140,IAH,TIAS,L,8,592.2
12,XX00172,20190809,2355,2155,2325,LAX,TIAS,L,6,543.6
2,XX00012,20190809,0735,0535,0705,BKK,TIAS,L,10,539
2,XX00022,20190809,0815,0615,0745,OKA,TIAS,M,1,201
2,XX00028,20190809,0840,0640,0810,XMN,TIAS,M,6,295.4
2,XX00038,20190809,0910,0710,0840,SGN,TIAS,L,9,382
2,XX00046,20190809,1000,0800,0930,NRT,TIAS,M,7,251
2,XX00061,20190809,1145,0945,1115,CGO,TIAS,S,8,57
2,XX00097,20190809,1520,1320,1450,SZX,TIAS,L,3,307.8
2,XX00098,20190809,1520,1320,1450,NRT,TIAS,S,2,168.6
2,XX00118,20190809,1715,1515,1645,NGO,TIAS,M,2,268.2
2,XX00134,20190809,1750,1550,1720,PVG,TIAS,M,11,249
2,XX00142,20190809,1920,1720,1850,CKG,TIAS,S,11,102
2,XX00154,20190809,2020,1820,1950,SJW,TIAS,S,2,0
3,XX00175,20190809,0230,0030,0200,TAE,TIAS,S,1,0
3,XX00008,20190809,0655,0455,0625,ICN,TIAS,S,10,194.4
3,XX00009,20190809,0700,0500,0630,HKG,TIAS,S,6,158.6
3,XX00047,20190809,1005,0805,0935,PVG,TIAS,L,7,333.2
3,XX00062,20190809,1155,0955,1125,HKG,TIAS,M,7,217.6
3,XX00076,20190809,1300,1100,1230,CAN,TIAS,S,2,144
3,XX00083,20190809,1410,1210,1340,ICN,TIAS,L,9,399
3,XX00108,20190809,1630,1430,1600,FUK,TIAS,L,9,402.6
3,XX00110,20190809,1635,1435,1605,ICN,TIAS,M,9,250
3,XX00114,20190809,1700,1500,1630,LAX,TIAS,L,9,628.2
3,XX00119,20190809,1715,1515,1645,TNA,TIAS,S,6,112
3,XX00129,20190809,1735,1535,1705,SIN,TIAS,M,7,249
3,XX00131,20190809,1740,1540,1710,KIX,TIAS,S,6,132.2
3,XX00152,20190809,2000,1800,1930,HKG,TIAS,M,2,232
3,XX00155,20190809,2025,1825,1955,ICN,TIAS,S,6,186.4
4,XX00023,20190809,0815,0615,0745,KOJ,TIAS,S,5,68.8
4,XX00024,20190809,0815,0615,0745,NGO,TIAS,S,1,159
4,XX00032,20190809,0850,0650,0820,NRT,TIAS,L,3,312.4
4,XX00045,20190809,1000,0800,0930,DPS,TIAS,S,2,192.4
4,XX00065,20190809,1200,1000,1130,HFE,TIAS,S,10,139
4,XX00075,20190809,1250,1050,1220,KIX,TIAS,S,7,148
4,XX00079,20190809,1315,1115,1245,PUS,TIAS,M,8,208
4,XX00103,20190809,1620,1420,1550,NRT,TIAS,S,1,153.8
4,XX00117,20190809,1710,1510,1640,PVG,TIAS,S,8,157
4,XX00123,20190809,1720,1520,1650,SHE,TIAS,S,6,124
4,XX00133,20190809,1745,1545,1715,KWL,TIAS,S,8,103
4,XX00149,20190809,1950,1750,1920,SFO,TIAS,L,6,676.8
5,XX00010,20190809,0710,0510,0640,CEB,TIAS,M,3,248.2
5,XX00017,20190809,0810,0610,0740,CAN,TIAS,S,10,198.2
5,XX00031,20190809,0850,0650,0820,BKK,TIAS,L,9,385.4
5,XX00049,20190809,1015,0815,0945,HRB,TIAS,S,2,139
5,XX00052,20190809,1025,0825,0955,SWA,TIAS,S,7,58
5,XX00064,20190809,1155,0955,1125,CSX,TIAS,S,5,120
5,XX00071,20190809,1230,1030,1200,HGH,TIAS,S,11,142
5,XX00082,20190809,1335,1135,1305,SZX,TIAS,M,8,254
5,XX00084,20190809,1410,1210,1340,SIN,TIAS,M,9,251
5,XX00085,20190809,1410,1210,1340,HKG,TIAS,S,6,132.8
5,XX00090,20190809,1440,1240,1410,NRT,TIAS,M,3,276.4
5,XX00106,20190809,1625,1425,1555,SZX,TIAS,L,8,324
5,XX00107,20190809,1630,1430,1600,PVG,TIAS,L,8,338
5,XX00109,20190809,1635,1435,1605,HKG,TIAS,S,6,195.6
5,XX00124,20190809,1725,1525,1655,KIX,TIAS,M,3,246.2
5,XX00135,20190809,1750,1550,1720,NGB,TIAS,S,2,0
5,XX00153,20190809,2005,1805,1935,ORD,TIAS,L,8,628.2
5,XX00164,20190809,2330,2130,2300,SYD,TIAS,L,8,462.4
6,XX00174,20190809,0020,2220,2350,AMS,TIAS,S,1,50.7
6,XX00030,20190809,0845,0645,0815,TSN,TIAS,S,10,90
6,XX00070,20190809,1230,1030,1200,KIX,TIAS,S,8,153
6,XX00115,20190809,1705,1505,1635,MNL,TIAS,S,2,0
6,XX00163,20190809,2330,2130,2300,SFO,TIAS,L,6,660.6
7,XX00001,20190809,0620,0420,0550,CTS,TIAS,S,1,182
7,XX00002,20190809,0630,0430,0600,KIX,TIAS,S,1,180.2
7,XX00019,20190809,0810,0610,0740,HKG,TIAS,S,6,160.4
7,XX00020,20190809,0810,0610,0740,KIX,TIAS,S,2,0
7,XX00025,20190809,0830,0630,0800,CGO,TIAS,S,10,68
7,XX00039,20190809,0915,0715,0845,HAN,TIAS,S,9,182.8
7,XX00055,20190809,1115,0915,1045,NGB,TIAS,S,10,139
7,XX00058,20190809,1125,0925,1055,FOC,TIAS,S,1,121
7,XX00074,20190809,1240,1040,1210,HKG,TIAS,S,6,141.2
7,XX00081,20190809,1325,1125,1255,CGO,TIAS,S,5,197.6
7,XX00093,20190809,1450,1250,1420,FUK,TIAS,S,6,134.6
7,XX00112,20190809,1645,1445,1615,NGB,TIAS,S,8,96.2
7,XX00116,20190809,1710,1510,1640,SFO,TIAS,L,9,532.8
7,XX00122,20190809,1720,1520,1650,HIJ,TIAS,S,5,184.4
7,XX00147,20190809,1940,1740,1910,PEK,TIAS,S,2,140
7,XX00150,20190809,1950,1750,1920,YNT,TIAS,S,4,125
7,XX00157,20190809,2030,1830,2000,MNL,TIAS,L,8,319.4
7,XX00159,20190809,2150,1950,2120,HKG,TIAS,S,6,150.6
7,XX00162,20190809,2320,2120,2250,MEL,TIAS,L,8,446.6
7,XX00173,20190809,2355,2155,2325,YVR,TIAS,L,10,464.4
8,XX00005,20190809,0650,0450,0620,CGQ,TIAS,S,8,119
