CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00014,20191107,0740,0540,0710,SIN,TIAS,L,9,447.4
1,XX00020,20191107,0810,0610,0740,KIX,TIAS,S,2,0
1,XX00047,20191107,1005,0805,0935,PVG,TIAS,L,7,333.2
1,XX00066,20191107,1205,1005,1135,WUX,TIAS,S,6,126
1,XX00072,20191107,1230,1030,1200,HRB,TIAS,S,8,107
1,XX00078,20191107,1315,1115,1245,PEK,TIAS,M,11,249
1,XX00090,20191107,1440,1240,1410,NRT,TIAS,M,3,276.4
1,XX00095,20191107,1515,1315,1445,ICN,TIAS,L,2,311.6
1,XX00103,20191107,1620,1420,1550,NRT,TIAS,S,1,153.8
1,XX00118,20191107,1715,1515,1645,NGO,TIAS,M,2,268.2
1,XX00126,20191107,1730,1530,1700,JFK,TIAS,L,3,604.8
1,XX00161,20191107,2215,2015,2145,IST,TIAS,L,9,374.4
1,XX00172,20191107,2355,2155,2325,LAX,TIAS,L,6,543.6
10,XX00003,20191107,0640,0440,0610,KUL,TIAS,M,1,285.4
10,XX00005,20191107,0650,0450,0620,CGQ,TIAS,S,8,119
10,XX00018,20191107,0810,0610,0740,CTU,TIAS,S,9,89.8
10,XX00037,20191107,0910,0710,0840,MNL,TIAS,L,10,580.6
10,XX00045,20191107,1000,0800,0930,DPS,TIAS,S,2,192.4
10,XX00062,20191107,1155,0955,1125,HKG,TIAS,M,7,217.6
10,XX00068,20191107,1215,1015,1145,TYN,TIAS,S,10,102
10,XX00084,20191107,1410,1210,1340,SIN,TIAS,M,9,251
10,XX00100,20191107,1535,1335,1505,PEK,TIAS,M,1,277.8
10,XX00116,20191107,1710,1510,1640,SFO,TIAS,L,9,532.8
10,XX00121,20191107,1720,1520,1650,HIJ,TIAS,S,5,183.4
10,XX00137,20191107,1810,1610,1740,HKG,TIAS,M,6,268.2
10,XX00144,20191107,1930,1730,1900,SGN,TIAS,L,8,379.8
10,XX00157,20191107,2030,1830,2000,MNL,TIAS,L,8,319.4
10,XX00171,20191107,2355,2155,2325,YVR,TIAS,L,7,617.4
11,XX00004,20191107,0650,0450,0620,FUK,TIAS,S,11,196.4
11,XX00006,20191107,0655,0455,0625,SYX,TIAS,S,11,99.4
11,XX00011,20191107,0720,0520,0650,SGN,TIAS,L,9,568
11,XX00025,20191107,0830,0630,0800,CGO,TIAS,S,10,68
11,XX00027,20191107,0835,0635,0805,CTS,TIAS,L,8,383.8
11,XX00040,20191107,0930,0730,0900,NRT,TIAS,L,6,364.2
11,XX00053,20191107,1055,0855,1025,PVG,TIAS,M,1,252
11,XX00061,20191107,1145,0945,1115,CGO,TIAS,S,8,57
11,XX00064,20191107,1155,0955,1125,CSX,TIAS,S,5,120
11,XX00085,20191107,1410,1210,1340,HKG,TIAS,S,6,132.8
11,XX00092,20191107,1450,1250,1420,FSZ,TIAS,S,5,93.2
11,XX00093,20191107,1450,1250,1420,FUK,TIAS,S,6,134.6
11,XX00107,20191107,1630,1430,1600,PVG,TIAS,L,8,338
11,XX00120,20191107,1720,1520,1650,OKA,TIAS,S,1,190
11,XX00123,20191107,1720,1520,1650,SHE,TIAS,S,6,124
11,XX00125,20191107,1725,1525,1655,NKG,TIAS,S,10,173
11,XX00132,20191107,1745,1545,1715,WNZ,TIAS,S,11,124
11,XX00139,20191107,1820,1620,1750,NNG,TIAS,S,8,131
11,XX00140,20191107,1840,1640,1810,PVG,TIAS,S,10,172
11,XX00147,20191107,1940,1740,1910,PEK,TIAS,S,2,140
11,XX00155,20191107,2025,1825,1955,ICN,TIAS,S,6,186.4
