CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00018,20190911,0810,0610,0740,CTU,TIAS,S,9,89.8
1,XX00034,20190911,0855,0655,0825,MFM,TIAS,S,6,134.4
1,XX00035,20190911,0900,0700,0830,CGK,TIAS,L,1,340.8
1,XX00051,20190911,1020,0820,0950,NRT,TIAS,S,8,189
1,XX00063,20190911,1155,0955,1125,TNA,TIAS,S,4,125
1,XX00076,20190911,1300,1100,1230,CAN,TIAS,S,2,144
1,XX00087,20190911,1420,1220,1350,TAK,TIAS,S,6,109
1,XX00093,20190911,1450,1250,1420,FUK,TIAS,S,6,134.6
1,XX00108,20190911,1630,1430,1600,FUK,TIAS,L,9,402.6
1,XX00114,20190911,1700,1500,1630,LAX,TIAS,L,9,628.2
1,XX00137,20190911,1810,1610,1740,HKG,TIAS,M,6,268.2
1,XX00139,20190911,1820,1620,1750,NNG,TIAS,S,8,131
1,XX00141,20190911,1920,1720,1850,LAX,TIAS,L,6,563.4
1,XX00144,20190911,1930,1730,1900,SGN,TIAS,L,8,379.8
1,XX00156,20190911,2025,1825,1955,DLC,TIAS,S,8,121
1,XX00164,20190911,2330,2130,2300,SYD,TIAS,L,8,462.4
10,XX00009,20190911,0700,0500,0630,HKG,TIAS,S,6,158.6
10,XX00015,20190911,0800,0600,0730,HKG,TIAS,M,7,214.4
10,XX00020,20190911,0810,0610,0740,KIX,TIAS,S,2,0
10,XX00036,20190911,0900,0700,0830,PVG,TIAS,M,1,280.6
10,XX00047,20190911,1005,0805,0935,PVG,TIAS,L,7,333.2
10,XX00070,20190911,1230,1030,1200,KIX,TIAS,S,8,153
10,XX00075,20190911,1250,1050,1220,KIX,TIAS,S,7,148
10,XX00081,20190911,1325,1125,1255,CGO,TIAS,S,5,197.6
10,XX00085,20190911,1410,1210,1340,HKG,TIAS,S,6,132.8
10,XX00097,20190911,1520,1320,1450,SZX,TIAS,L,3,307.8
10,XX00098,20190911,1520,1320,1450,NRT,TIAS,S,2,168.6
10,XX00116,20190911,1710,1510,1640,SFO,TIAS,L,9,532.8
10,XX00117,20190911,1710,1510,1640,PVG,TIAS,S,8,157
10,XX00127,20190911,1730,1530,1700,WUX,TIAS,S,10,59
10,XX00155,20190911,2025,1825,1955,ICN,TIAS,S,6,186.4
10,XX00165,20190911,2330,2130,2300,HNL,TIAS,M,10,298.8
11,XX00006,20190911,0655,0455,0625,SYX,TIAS,S,11,99.4
11,XX00022,20190911,0815,0615,0745,OKA,TIAS,M,1,201
11,XX00029,20190911,0845,0645,0815,PNH,TIAS,M,1,237.4
11,XX00049,20190911,1015,0815,0945,HRB,TIAS,S,2,139
11,XX00072,20190911,1230,1030,1200,HRB,TIAS,S,8,107
11,XX00077,20190911,1300,1100,1230,ICN,TIAS,S,9,0
11,XX00082,20190911,1335,1135,1305,SZX,TIAS,M,8,254
11,XX00089,20190911,1435,1235,1405,LJG,TIAS,S,10,118
11,XX00101,20190911,1545,1345,1515,NGO,TIAS,S,7,124
11,XX00102,20190911,1605,1405,1535,WUX,TIAS,L,2,301.8
11,XX00123,20190911,1720,1520,1650,SHE,TIAS,S,6,124
11,XX00130,20190911,1735,1535,1705,SZX,TIAS,S,6,109
11,XX00152,20190911,2000,1800,1930,HKG,TIAS,M,2,232
11,XX00166,20190911,2340,2140,2310,SEA,TIAS,L,7,635.4
12,XX00176,20190911,0310,0110,0240,PUS,TIAS,M,1,219
12,XX00021,20190911,0810,0610,0740,FUK,TIAS,S,3,173.8
12,XX00031,20190911,0850,0650,0820,BKK,TIAS,L,9,385.4
12,XX00039,20190911,0915,0715,0845,HAN,TIAS,S,9,182.8
12,XX00042,20190911,0950,0750,0920,KIX,TIAS,L,5,349.8
12,XX00057,20190911,1125,0925,1055,XMN,TIAS,S,1,149
12,XX00078,20190911,1315,1115,1245,PEK,TIAS,M,11,249
12,XX00086,20190911,1420,1220,1350,KIX,TIAS,M,6,226
12,XX00088,20190911,1435,1235,1405,CAN,TIAS,M,8,268
12,XX00100,20190911,1535,1335,1505,PEK,TIAS,M,1,277.8
12,XX00121,20190911,1720,1520,1650,HIJ,TIAS,S,5,183.4
12,XX00124,20190911,1725,1525,1655,KIX,TIAS,M,3,246.2
12,XX00133,20190911,1745,1545,1715,KWL,TIAS,S,8,103
12,XX00145,20190911,1930,1730,1900,JFK,TIAS,L,8,608.4
12,XX00167,20190911,2340,2140,2310,SFO,TIAS,L,11,612
12,XX00173,20190911,2355,2155,2325,YVR,TIAS,L,10,464.4
2,XX00007,20190911,0655,0455,0625,OKA,TIAS,S,6,176
2,XX00016,20190911,0800,0600,0730,TOY,TIAS,S,8,163
2,XX00019,20190911,0810,0610,0740,HKG,TIAS,S,6,160.4
2,XX00027,20190911,0835,0635,0805,CTS,TIAS,L,8,383.8
2,XX00028,20190911,0840,0640,0810,XMN,TIAS,M,6,295.4
2,XX00045,20190911,1000,0800,0930,DPS,TIAS,S,2,192.4
2,XX00050,20190911,1015,0815,0945,SDJ,TIAS,S,8,151.2
2,XX00064,20190911,1155,0955,1125,CSX,TIAS,S,5,120
2,XX00074,20190911,1240,1040,1210,HKG,TIAS,S,6,141.2
2,XX00084,20190911,1410,1210,1340,SIN,TIAS,M,9,251
2,XX00096,20190911,1520,1320,1450,PEK,TIAS,M,8,289.8
2,XX00104,20190911,1620,1420,1550,MFM,TIAS,S,6,132
2,XX00126,20190911,1730,1530,1700,JFK,TIAS,L,3,604.8
2,XX00138,20190911,1820,1620,1750,TXN,TIAS,S,8,133
2,XX00148,20190911,1945,1745,1915,HAK,TIAS,S,2,34
2,XX00170,20190911,2350,2150,2320,CDG,TIAS,L,8,429.7
2,XX00171,20190911,2355,2155,2325,YVR,TIAS,L,7,617.4
3,XX00001,20190911,0620,0420,0550,CTS,TIAS,S,1,182
3,XX00011,20190911,0720,0520,0650,SGN,TIAS,L,9,568
3,XX00025,20190911,0830,0630,0800,CGO,TIAS,S,10,68
3,XX00026,20190911,0830,0630,0800,KIX,TIAS,M,3,222.8
3,XX00038,20190911,0910,0710,0840,SGN,TIAS,L,9,382
3,XX00043,20190911,0955,0755,0925,SIN,TIAS,L,7,341.4
3,XX00048,20190911,1015,0815,0945,HKG,TIAS,S,6,136.2
3,XX00060,20190911,1135,0935,1105,SFO,TIAS,L,9,644.4
3,XX00066,20190911,1205,1005,1135,WUX,TIAS,S,6,126
3,XX00067,20190911,1210,1010,1140,KWE,TIAS,S,2,0
3,XX00083,20190911,1410,1210,1340,ICN,TIAS,L,9,399
3,XX00095,20190911,1515,1315,1445,ICN,TIAS,L,2,311.6
3,XX00099,20190911,1530,1330,1500,MNL,TIAS,L,2,360.6
3,XX00107,20190911,1630,1430,1600,PVG,TIAS,L,8,338
3,XX00118,20190911,1715,1515,1645,NGO,TIAS,M,2,268.2
3,XX00120,20190911,1720,1520,1650,OKA,TIAS,S,1,190
3,XX00134,20190911,1750,1550,1720,PVG,TIAS,M,11,249
3,XX00140,20190911,1840,1640,1810,PVG,TIAS,S,10,172
3,XX00150,20190911,1950,1750,1920,YNT,TIAS,S,4,125
3,XX00163,20190911,2330,2130,2300,SFO,TIAS,L,6,660.6
4,XX00012,20190911,0735,0535,0705,BKK,TIAS,L,10,539
4,XX00041,20190911,0930,0730,0900,CTS,TIAS,M,3,270.6
4,XX00053,20190911,1055,0855,1025,PVG,TIAS,M,1,252
4,XX00055,20190911,1115,0915,1045,NGB,TIAS,S,10,139
4,XX00065,20190911,1200,1000,1130,HFE,TIAS,S,10,139
4,XX00071,20190911,1230,1030,1200,HGH,TIAS,S,11,142
4,XX00094,20190911,1500,1300,1430,PVG,TIAS,M,10,209
4,XX00111,20190911,1645,1445,1615,PVG,TIAS,M,5,257
4,XX00115,20190911,1705,1505,1635,MNL,TIAS,S,2,0
4,XX00122,20190911,1720,1520,1650,HIJ,TIAS,S,5,184.4
4,XX00129,20190911,1735,1535,1705,SIN,TIAS,M,7,249
4,XX00142,20190911,1920,1720,1850,CKG,TIAS,S,11,102
4,XX00146,20190911,1940,1740,1910,YYZ,TIAS,L,8,568.8
4,XX00154,20190911,2020,1820,1950,SJW,TIAS,S,2,0
4,XX00158,20190911,2110,1910,2040,BKK,TIAS,L,6,331.6
4,XX00162,20190911,2320,2120,2250,MEL,TIAS,L,8,446.6
5,XX00005,20190911,0650,0450,0620,CGQ,TIAS,S,8,119
5,XX00033,20190911,0855,0655,0825,KIX,TIAS,S,7,128
5,XX00046,20190911,1000,0800,0930,NRT,TIAS,M,7,251
5,XX00058,20190911,1125,0925,1055,FOC,TIAS,S,1,121
5,XX00069,20190911,1225,1025,1155,NRT,TIAS,L,3,338
5,XX00092,20190911,1450,1250,1420,FSZ,TIAS,S,5,93.2
5,XX00106,20190911,1625,1425,1555,SZX,TIAS,L,8,324
5,XX00119,20190911,1715,1515,1645,TNA,TIAS,S,6,112
5,XX00132,20190911,1745,1545,1715,WNZ,TIAS,S,11,124
5,XX00135,20190911,1750,1550,1720,NGB,TIAS,S,2,0
5,XX00143,20190911,1925,1725,1855,JJN,TIAS,S,1,153
5,XX00153,20190911,2005,1805,1935,ORD,TIAS,L,8,628.2
5,XX00168,20190911,2345,2145,2315,BNE,TIAS,L,8,450.9
6,XX00003,20190911,0640,0440,0610,KUL,TIAS,M,1,285.4
6,XX00010,20190911,0710,0510,0640,CEB,TIAS,M,3,248.2
6,XX00024,20190911,0815,0615,0745,NGO,TIAS,S,1,159
6,XX00030,20190911,0845,0645,0815,TSN,TIAS,S,10,90
6,XX00044,20190911,1000,0800,0930,MFM,TIAS,S,6,191.6
6,XX00054,20190911,1105,0905,1035,HKD,TIAS,S,8,138
6,XX00059,20190911,1130,0930,1100,SFO,TIAS,L,6,590.4
6,XX00068,20190911,1215,1015,1145,TYN,TIAS,S,10,102
6,XX00090,20190911,1440,1240,1410,NRT,TIAS,M,3,276.4
6,XX00105,20190911,1625,1425,1555,HGH,TIAS,M,8,228.6
6,XX00112,20190911,1645,1445,1615,NGB,TIAS,S,8,96.2
6,XX00128,20190911,1730,1530,1700,HKG,TIAS,M,7,216.8
6,XX00147,20190911,1940,1740,1910,PEK,TIAS,S,2,140
6,XX00157,20190911,2030,1830,2000,MNL,TIAS,L,8,319.4
6,XX00159,20190911,2150,1950,2120,HKG,TIAS,S,6,150.6
6,XX00160,20190911,2210,2010,2140,IAH,TIAS,L,8,592.2
7,XX00004,20190911,0650,0450,0620,FUK,TIAS,S,11,196.4
7,XX00008,20190911,0655,0455,0625,ICN,TIAS,S,10,194.4
7,XX00013,20190911,0740,0540,0710,SYD,TIAS,L,9,426.8
7,XX00023,20190911,0815,0615,0745,KOJ,TIAS,S,5,68.8
7,XX00032,20190911,0850,0650,0820,NRT,TIAS,L,3,312.4
7,XX00037,20190911,0910,0710,0840,MNL,TIAS,L,10,580.6
7,XX00056,20190911,1120,0920,1050,LAX,TIAS,L,6,543.6
7,XX00062,20190911,1155,0955,1125,HKG,TIAS,M,7,217.6
7,XX00079,20190911,1315,1115,1245,PUS,TIAS,M,8,208
7,XX00080,20190911,1320,1120,1250,NRT,TIAS,S,7,142
7,XX00091,20190911,1445,1245,1415,MFM,TIAS,S,6,111.2
7,XX00103,20190911,1620,1420,1550,NRT,TIAS,S,1,153.8
7,XX00113,20190911,1645,1445,1615,TAO,TIAS,S,4,125
7,XX00125,20190911,1725,1525,1655,NKG,TIAS,S,10,173
7,XX00131,20190911,1740,1540,1710,KIX,TIAS,S,6,132.2
7,XX00151,20190911,1955,1755,1925,CTU,TIAS,S,2,0
7,XX00172,20190911,2355,2155,2325,LAX,TIAS,L,6,543.6
8,XX00175,20190911,0230,0030,0200,TAE,TIAS,S,1,0
8,XX00002,20190911,0630,0430,0600,KIX,TIAS,S,1,180.2
8,XX00014,20190911,0740,0540,0710,SIN,TIAS,L,9,447.4
8,XX00017,20190911,0810,0610,0740,CAN,TIAS,S,10,198.2
8,XX00040,20190911,0930,0730,0900,NRT,TIAS,L,6,364.2
8,XX00052,20190911,1025,0825,0955,SWA,TIAS,S,7,58
8,XX00061,20190911,1145,0945,1115,CGO,TIAS,S,8,57
8,XX00073,20190911,1230,1030,1200,SZX,TIAS,S,6,122
8,XX00109,20190911,1635,1435,1605,HKG,TIAS,S,6,195.6
8,XX00110,20190911,1635,1435,1605,ICN,TIAS,M,9,250
8,XX00136,20190911,1800,1600,1730,YVR,TIAS,S,2,0
8,XX00149,20190911,1950,1750,1920,SFO,TIAS,L,6,676.8
8,XX00161,20190911,2215,2015,2145,IST,TIAS,L,9,374.4
8,XX00169,20190911,2350,2150,2320,LAX,TIAS,L,11,603
9,XX00174,20190911,0020,2220,2350,AMS,TIAS,S,1,50.7
